"","voi.pos.0.","voi.pos.1.","voi.pos.2.","voi.size.0.","voi.size.1.","voi.size.2.","gauss_sigma0","gauss_support0","threshold_lower0","threshold_upper0","threshold_unit0","th_mean","th_sd","th_median","sp_mean","sp_sd","sp_median","n_mean","n_sd","n_median"
"nbr.val",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"nbr.null",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nbr.na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"min",462,369,0,151,166,232,0.5,1,96,1000,6,10.92,4.79,11,9.08,4.02,9,9.02,3.46,9
"max",489,384,0,185,246,232,0.5,1,161,1000,6,15.07,6.45,16,50.57,23.31,57,42.26,25.36,45
"range",27,15,0,34,80,0,0,0,65,0,0,4.15,1.66,5,41.49,19.29,48,33.24,21.9,36
"sum",4755,3825,0,1660,1830,2320,5,10,1204,10000,60,131.49,57.27,131,319.88,157.49,359,234.97,165.15,179
"median",475,384,0,165,176,232,0.5,1,123,1000,6,12.995,5.655,13,38.225,20.26,44,25.545,20.935,14
"mean",475.5,382.5,0,166,183,232,0.5,1,120.4,1000,6,13.149,5.727,13.1,31.988,15.749,35.9,23.497,16.515,17.9
"SE.mean",2.29128784747792,1.5,0,3.05505046330389,7.31209044437134,0,0,0,6.1809743927996,0,0,0.46017979578035,0.188579779757357,0.525991127935317,5.41021847987676,2.4893521915015,6.41430692540771,3.65873659129001,3.01245018400489,3.58840726042442
"CI.mean.0.95",5.18325321620466,3.39323574419731,0,6.91100428827288,16.5410977737629,0,0,0,13.9823354957439,0,0,1.04099902119953,0.426597099537013,1.18987459762718,12.2387644865564,5.63130589073253,14.5101703556972,8.27663718677858,6.81463576131944,8.11754118720618
"var",52.5,22.5,0,93.3333333333333,534.666666666667,0,0,0,382.044444444444,0,0,2.11765444444445,0.355623333333333,2.76666666666667,292.70464,61.9687433333333,411.433333333333,133.863534444444,90.7485611111111,128.766666666667
"std.dev",7.24568837309472,4.74341649025257,0,9.66091783079296,23.1228602613662,0,0,0,19.545957240423,0,0,1.45521628785705,0.596341624686164,1.66332999331662,17.1086130355444,7.8720228234764,20.2838194956801,11.569940987077,9.5262039192488,11.3475401152261
"coef.var",0.0152380407425756,0.0124010888634054,NA,0.0581983001854998,0.126354427657739,0,0,0,0.162341837545042,0,0,0.110671251643246,0.104128099299138,0.126971755215009,0.534844724132312,0.49984270896415,0.565008899601118,0.492400774016981,0.576821309067441,0.63394078856012
